Language,Micro F1,Micro Precision,Micro Recall,Macro F1,Macro Precision,Macro Recall,Macro F1 QALD
ba,0.0039,0.202,0.002,0.0897,0.0938,0.0887,0.1591
be,0.0083,0.1421,0.0043,0.1071,0.1135,0.1054,0.1819
de,0.0089,0.1736,0.0046,0.1513,0.1578,0.1496,0.2406
en,0.0089,0.1725,0.0046,0.1591,0.1653,0.1642,0.2578
fr,0.0067,0.7955,0.0034,0.0775,0.0804,0.0761,0.1411
hy,0.0034,0.53,0.0017,0.0558,0.0584,0.0546,0.1034
ja,0.0086,0.2036,0.0044,0.1218,0.1281,0.1201,0.2041
lt,0.0086,0.1568,0.0044,0.0925,0.0992,0.0908,0.1595
ru,0.0087,0.2094,0.0044,0.122,0.1356,0.1202,0.2029
uk,0.0087,0.1893,0.0044,0.1291,0.1356,0.1274,0.2135
zh,0.0087,0.2208,0.0044,0.115,0.121,0.1201,0.2016
