Language,Micro F1,Micro Precision,Micro Recall,Macro F1,Macro Precision,Macro Recall,Macro F1 QALD
ba,0.0019,0.0022,0.0017,0.5307,0.5323,0.5303,0.5956
be,0.002,0.0014,0.0037,0.3981,0.399,0.3998,0.4421
de,0.0003,0.0002,0.0009,0.2952,0.2948,0.2971,0.3374
en,0.0015,0.001,0.0026,0.3747,0.374,0.3768,0.4152
es,0.0047,0.0239,0.0026,0.2491,0.2487,0.2504,0.273
fr,0.0002,0.0026,0.0001,0.6765,0.6765,0.6765,0.7793
hy,0.0,0.0,0.0,0.6471,0.6471,0.6471,0.7518
ja,0.0019,0.0013,0.0037,0.3613,0.3622,0.363,0.402
lt,0.0017,0.0014,0.0024,0.3736,0.3733,0.3739,0.4245
ru,0.0025,0.0019,0.0037,0.376,0.3769,0.3777,0.4169
uk,0.0034,0.0032,0.0037,0.4422,0.4431,0.4439,0.4897
zh,0.0016,0.001,0.0037,0.3834,0.3842,0.3851,0.4273
