Language,Micro F1,Micro Precision,Micro Recall,Macro F1,Macro Precision,Macro Recall,Macro F1 QALD
ba,0.0005,0.0003,0.007,0.135,0.1441,0.1457,0.2417
be,0.0009,0.0005,0.0125,0.2364,0.2385,0.2406,0.3523
de,0.0028,0.0015,0.0158,0.254,0.2555,0.2625,0.3744
en,0.0104,0.0079,0.0155,0.2751,0.2766,0.2842,0.4072
fr,0.0108,0.4198,0.0055,0.0953,0.0951,0.0956,0.1738
ja,0.0008,0.0004,0.0121,0.2339,0.2337,0.2491,0.3559
lt,0.0023,0.0012,0.0235,0.225,0.2247,0.2299,0.3482
ru,0.0006,0.0003,0.0086,0.224,0.2253,0.2332,0.3415
uk,0.0006,0.0003,0.0078,0.2434,0.2492,0.2461,0.3629
zh,0.0064,0.0052,0.0083,0.2369,0.2366,0.2447,0.3519
