Language,Micro F1,Micro Precision,Micro Recall,Macro F1,Macro Precision,Macro Recall,Macro F1 QALD
ba,0.0004,0.0909,0.0002,0.6544,0.6544,0.6544,0.7515
be,0.0024,0.1875,0.0012,0.6299,0.6324,0.6287,0.7103
de,0.0042,0.375,0.0021,0.6336,0.636,0.6324,0.7084
en,0.0047,0.1967,0.0024,0.6299,0.6324,0.6287,0.6989
fr,0.0004,0.0299,0.0002,0.7059,0.7059,0.7059,0.8067
ja,0.0026,0.2889,0.0013,0.5564,0.5588,0.5551,0.6433
lt,0.0014,0.1628,0.0007,0.6471,0.6471,0.6471,0.7359
ru,0.0014,0.056,0.0007,0.6005,0.6029,0.5993,0.6831
uk,0.0033,0.1589,0.0017,0.6373,0.6397,0.636,0.7149
zh,0.0032,0.2963,0.0016,0.5895,0.5919,0.5882,0.6608

